0.1651	0.2572
0.2216	0.1105
0.2798	0.1192
0.3804	0.1203
0.3320	0.1159
0.1742	0.0891
0.1100	0.0707
0.3980	0.1149
0.1086	0.0685
0.0905	0.0627
0.0691	0.0474
0.0723	0.0601
0.1002	0.0669
0.0699	0.0496
0.0626	0.0453
0.0886	0.0938
0.0895	0.0936
0.0827	0.0806
0.0787	0.0730
0.0995	0.0738
0.2176	0.0939
0.1428	0.0862
0.1137	0.0747
0.1181	0.0781
0.0888	0.0616
0.1127	0.0722
0.0821	0.0624
0.0831	0.0586
0.0754	0.0663
0.1142	0.0837
0.0865	0.0791
0.0790	0.0774
0.0758	0.0638
0.0948	0.0744
0.0879	0.0668
0.1062	0.0695
0.1018	0.0740
0.1048	0.0731
0.1157	0.0743
0.1511	0.0895
0.1449	0.0807
0.1039	0.0828
0.1009	0.0790
0.1488	0.0838
0.0939	0.0826
0.0921	0.0878
0.0712	0.0745
0.1378	0.1109
0.1135	0.0956
0.0675	0.0709
0.0771	0.0788
0.1073	0.1056
0.1116	0.1040
0.0833	0.0837
0.0753	0.0750
0.1294	0.0953
0.1471	0.1095
0.0824	0.0858
0.0910	0.0947
0.0862	0.0859
0.0667	0.0651
0.0782	0.0907
0.0775	0.0786
0.0746	0.0722
0.0677	0.0653
0.0958	0.0954
0.1561	0.1026
0.0979	0.0915
0.0860	0.0630
0.1707	0.0942
0.1569	0.0856
0.1673	0.0758
0.1457	0.0954
0.1008	0.0683
0.1486	0.0837
0.2531	0.0898
0.0946	0.0590
0.1566	0.0857
0.2570	0.0754
0.1256	0.0664
0.0943	0.0588
0.2351	0.0778
0.1153	0.0627
0.0822	0.0508
0.0747	0.0504
0.2902	0.0902
0.0990	0.0626
0.1073	0.0683
0.0783	0.0559
0.1121	0.0767
0.0776	0.0614
0.0680	0.0546
0.0728	0.0572
0.0927	0.1252
0.0739	0.0912
0.0893	0.1058
0.0914	0.1189
0.0928	0.0902
0.0846	0.1096
0.0973	0.0974
0.1228	0.1299
0.0884	0.0832
0.0803	0.0806
0.0772	0.0749
0.1576	0.1044
0.0725	0.0744
0.0693	0.0679
0.0666	0.0691
0.0761	0.0800
0.0653	0.0622
0.0824	0.0725
0.1921	0.1161
0.1226	0.0888
0.1142	0.0798
0.1013	0.0831
0.1266	0.0866
0.1078	0.0605
0.1758	0.0772
0.1062	0.0571
0.1341	0.0639
0.2936	0.0852
0.1327	0.0781
0.1110	0.0510
0.4316	0.0884
0.1449	0.0601
0.0887	0.0498
0.0744	0.0420
0.2495	0.1014
0.2457	0.0879
0.0819	0.0477
0.1231	0.0539
0.3378	0.0946
0.1540	0.0631
0.1180	0.0563
0.1952	0.0673
0.1954	0.0744
0.1054	0.0599
0.1194	0.0666
0.2566	0.0971
0.1139	0.0934
0.1006	0.0654
0.1717	0.0859
0.0802	0.0595
0.0851	0.0583
0.0783	0.0499
0.2664	0.0940
0.1389	0.0805
0.0765	0.0487
